number_diagnoses,partial_dependence
1.0,0.16189441084861755
1.75,0.16201600432395935
2.5,0.16411329805850983
3.25,0.16411329805850983
4.0,0.1671678125858307
4.75,0.16862180829048157
5.5,0.1836218684911728
6.25,0.1836218684911728
7.0,0.1925671249628067
7.75,0.19546854496002197
8.5,0.20124974846839905
9.25,0.20124974846839905
10.0,0.20124974846839905
10.75,0.20124974846839905
11.5,0.20124974846839905
12.25,0.20124974846839905
13.0,0.20124974846839905
13.75,0.20124974846839905
14.5,0.20124974846839905
15.25,0.20124974846839905
