discharge_disposition_id_1,partial_dependence
0.0,0.21491451561450958
0.05,0.21491451561450958
0.1,0.21491451561450958
0.15000000000000002,0.21491451561450958
0.2,0.21491451561450958
0.25,0.21491451561450958
0.30000000000000004,0.21491451561450958
0.35000000000000003,0.21491451561450958
0.4,0.21491451561450958
0.45,0.21491451561450958
0.5,0.183149054646492
0.55,0.183149054646492
0.6000000000000001,0.183149054646492
0.65,0.183149054646492
0.7000000000000001,0.183149054646492
0.75,0.183149054646492
0.8,0.183149054646492
0.8500000000000001,0.183149054646492
0.9,0.183149054646492
0.9500000000000001,0.183149054646492
