number_emergency,partial_dependence
0.0,0.18697375059127808
3.2,0.2604290843009949
6.4,0.36017677187919617
9.600000000000001,0.3792840242385864
12.8,0.3793790936470032
16.0,0.38520464301109314
19.200000000000003,0.38520464301109314
22.400000000000002,0.38520464301109314
25.6,0.38520464301109314
28.8,0.38520464301109314
32.0,0.38520464301109314
35.2,0.38520464301109314
38.400000000000006,0.38520464301109314
41.6,0.38520464301109314
44.800000000000004,0.38520464301109314
48.0,0.38520464301109314
51.2,0.38520464301109314
54.400000000000006,0.38520464301109314
57.6,0.38520464301109314
60.800000000000004,0.38520464301109314
